the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.95360670739089 40.8272830035155, -73.9537119121409 40.82727549063605))",1,Manhattan,109,7,71,31,13,WEST 145 STREET,184625,2,34638,MN0903,MN,Regional,Hamilton Heights-Sugar Hill,X,AREA OF MINIMAL FLOOD HAZARD,2,29.2439498795
"MULTILINESTRING ((-73.94463158316023 40.797398719415206, -73.94442935658041 40.797675234894186))",1,Manhattan,111,8,68,30,13,PARK AVENUE,9006544,4,35463,MN1102,MN,Community,East Harlem (North),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,5,115.258177091
"MULTILINESTRING ((-74.00447344066367 40.71152671003683, -74.00451447278347 40.7115520470061, -74.00455553925153 40.71157735244141, -74.00459664006773 40.711602625442275, -74.00463777404869 40.71162786510809, -74.00467894356134 40.71165307414032, -74.00472014623868 40.711678249837526, -74.00476138326411 40.7117033931001, -74.0048314427179 40.71174598793983, -74.00490159811196 40.711788489980044, -74.00497185299633 40.711830898319825, -74.00504220382065 40.71187321295922, -74.00511265295164 40.711915433897865, -74.00518319802235 40.71195756113577, -74.00525384139958 40.71199959467262))",1,Manhattan,101,1,66,26,10,FRANKFORT STREET,331079,3,30004,MN0101,MN,Neighborhood,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,5,276.573881907
"MULTILINESTRING ((-73.99928135455536 40.70876580398099, -73.99865121392514 40.70886121827491))",1,Manhattan,103,1,65,26,7,SOUTH STREET,151293,4,31254,MN0301,MN,Community,Chinatown-Two Bridges,AE,,1,178.127740668
"MULTILINESTRING ((-73.99928135455536 40.70876580398099, -73.99865121392514 40.70886121827491))",1,Manhattan,103,1,65,26,7,SOUTH STREET,151293,4,31254,MN0301,MN,Community,Chinatown-Two Bridges,AE,,1,178.127740668
"MULTILINESTRING ((-73.99863026623167 40.71350676221464, -73.99858062693397 40.71346976143778))",1,Manhattan,103,1,65,26,7,WORTH STREET,312136,3,31276,MN0301,MN,Neighborhood,Chinatown-Two Bridges,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",19.2638474796
"MULTILINESTRING ((-73.93625935997899 40.8088556085834, -73.9361310724062 40.80880206600468))",1,Manhattan,111,9,68,30,13,EAST 131 STREET,185559,4,35468,MN1102,MN,Community,East Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,"3,4",40.5186129928
"MULTILINESTRING ((-73.96081441993397 40.81845889992732, -73.96091059406615 40.81856487599208))",1,Manhattan,109,7,70,31,13,WEST 125 STREET,185876,3,34449,MN0901,MN,Neighborhood,Manhattanville-West Harlem,AE,,2,46.8979473381
"MULTILINESTRING ((-73.96157544167615 40.81790997017937, -73.96163613619781 40.81793985085848))",1,Manhattan,109,7,"70,71",31,13,ST CLAIR PLACE,185875,3,34348,MN0901,MN,Neighborhood,"Morningside Heights,Manhattanville-West Harlem",AE,,"1,2,5",20.0186599755
"MULTILINESTRING ((-73.95302696998829 40.802533137495026, -73.95266813393657 40.803024987295245))",1,Manhattan,110,9,70,30,13,ADAM CLAYTON POWELL JR BOULEVARD,38579,3,34793,MN1001,MN,Neighborhood,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,204.893636526
"MULTILINESTRING ((-74.00879080555238 40.74237514311575, -74.00861244327112 40.743211205203885))",1,Manhattan,"104,102",3,"66,75",27,10,11 AVENUE,109522,3,30899,MN0401,MN,Neighborhood,"West Village,Chelsea-Hudson Yards",AE,,"1,2",308.587785592
"MULTILINESTRING ((-74.00762904186809 40.72349770377275, -74.00791206090729 40.72369976706067))",1,Manhattan,"101,102","3,1",66,"26,27",10,CANAL STREET,106026,3,30183,MN0102,MN,Neighborhood,"Tribeca-Civic Center,SoHo-Little Italy-Hudson Square",AE,,2,107.581035067
"MULTILINESTRING ((-74.0044846359433 40.724896354586136, -74.00437244443239 40.725371619686726))",1,Manhattan,102,3,66,"26,27",10,AVENUE OF THE AMERICAS,296132,2,30642,MN0201,MN,Regional,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,4,175.923977731
"MULTILINESTRING ((-74.00437244443239 40.725371619686726, -74.00403067968269 40.72551249518789))",1,Manhattan,102,3,66,"26,27",10,AVENUE OF THE AMERICAS,296133,2,30642,MN0201,MN,Regional,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,4,107.739518846
"MULTILINESTRING ((-74.00437244443239 40.725371619686726, -74.004551934319 40.72555881595647))",1,Manhattan,102,3,66,27,10,AVENUE OF THE AMERICAS,296159,2,30642,MN0201,MN,Regional,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,4,84.4186145761
"MULTILINESTRING ((-73.9899704341117 40.73537089179315, -73.98986198889538 40.735326099142014))",1,Manhattan,105,2,"74,75","28,27",12,EAST 15 STREET,283287,3,32213,MN0602,MN,Neighborhood,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,34.1987564996
"MULTILINESTRING ((-73.98987421380659 40.73540825804987, -73.98945472120609 40.73598724691183))",1,Manhattan,105,2,"74,75",28,12,UNION SQUARE EAST,164378,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,240.857912565
"MULTILINESTRING ((-73.98986198889538 40.735326099142014, -73.98987421380659 40.73540825804987))",1,Manhattan,105,2,"74,75","28,27",12,UNION SQUARE EAST,164377,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,30.1241943132
"MULTILINESTRING ((-73.98987421380659 40.73540825804987, -73.98945472120609 40.73598724691183))",1,Manhattan,105,2,"74,75",28,12,UNION SQUARE EAST,164378,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,240.857912565
"MULTILINESTRING ((-73.98987421380659 40.73540825804987, -73.98945472120609 40.73598724691183))",1,Manhattan,105,2,"74,75",28,12,UNION SQUARE EAST,164378,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,240.857912565
"MULTILINESTRING ((-74.00836775262137 40.75030818612698, -74.0083125978633 40.75060170011718, -74.00824071078566 40.75089354212701, -74.00815225684981 40.751182880046166, -74.00804748441978 40.751468906065824, -74.00792671173926 40.751750827674805))",1,Manhattan,104,3,75,27,10,JOE DIMAGGIO HIGHWAY,33352,3,31853,MN0401,MN,Neighborhood,Chelsea-Hudson Yards,AE,,1,540.629078738
"MULTILINESTRING ((-74.0076659832628 40.752424072388685, -74.00740710309148 40.75314319708648))",1,Manhattan,104,3,75,27,10,12 AVENUE,33406,4,31848,MN0401,MN,Community,Chelsea-Hudson Yards,AE,,1,271.6409051
"MULTILINESTRING ((-74.00345314049393 40.75903390301103, -74.00329925559969 40.75924392234424))",1,Manhattan,104,3,75,27,10,12 AVENUE,184090,4,31835,MN0401,MN,Community,Chelsea-Hudson Yards,AE,,"1,2",87.5915556424
"MULTILINESTRING ((-74.00038791501026 40.762580968612774, -73.99965105852513 40.76311591330775))",1,Manhattan,104,3,67,31,10,12 AVENUE,33618,3,31994,MN0402,MN,Neighborhood,Hell's Kitchen,AE,,"1,2",282.226221656
"MULTILINESTRING ((-73.9990475002816 40.763656644668686, -73.99873440293365 40.764074399937776))",1,Manhattan,104,3,67,31,10,12 AVENUE,251650,4,32097,MN0402,MN,Community,Hell's Kitchen,AE,,"1,2",175.179956752
"MULTILINESTRING ((-73.99873440293365 40.764074399937776, -73.9985803447486 40.764279950812174))",1,Manhattan,104,3,67,31,10,12 AVENUE,251651,4,32097,MN0402,MN,Community,Hell's Kitchen,AE,,"1,2,3",86.1952401641
"MULTILINESTRING ((-73.9963278304713 40.76739738245828, -73.99584888476181 40.76803398624848))",1,Manhattan,104,3,67,31,10,12 AVENUE,33773,4,31997,MN0402,MN,Community,Hell's Kitchen,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,"1,3",267.198301244
"MULTILINESTRING ((-73.9945473821062 40.770742241044005, -73.99434695519427 40.77146493021322))",1,Manhattan,104,"3,6",67,"31,27",10,12 AVENUE,34283,4,31955,MN0402,MN,Community,Hell's Kitchen,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1,2",269.088663525
"MULTILINESTRING ((-73.99350262242092 40.7727516325079, -73.99341045499592 40.77287889535587))",1,Manhattan,"104,107","3,6",67,"31,27",10,JOE DIMAGGIO HIGHWAY,164824,4,32095,MN0402,MN,Community,"Hell's Kitchen,Upper West Side-Lincoln Square",AE,,"1,2",52.9293181212
"MULTILINESTRING ((-73.98208835869136 40.77790596313466, -73.98198939910499 40.77804313202614))",1,Manhattan,107,6,67,27,10,AMSTERDAM AVENUE,324813,2,33188,MN0701,MN,Regional,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,56.997342568
"MULTILINESTRING ((-73.9698245530404 40.76864600894427, -73.96999439575438 40.768710736471725, -73.97017502238937 40.76876121156893, -73.97036321536626 40.76879601056242, -73.97055539435831 40.76881433105224, -73.97074781767716 40.768815955947865, -73.9709368357209 40.768801343584435))",1,Manhattan,"164,108","6,4","73,75","28,29","10,12",65 ST TRANSVERSE,111176,4,34102,MN0802,MN,Community,"Upper East Side-Carnegie Hill,Central Park",X,AREA OF MINIMAL FLOOD HAZARD,,319.15849562
"MULTILINESTRING ((-73.9709368357209 40.768801343584435, -73.9715485886272 40.768771950751805))",1,Manhattan,164,6,75,29,10,65 ST TRANSVERSE,111175,4,34102,MN0802,MN,Community,Central Park,X,AREA OF MINIMAL FLOOD HAZARD,,169.790374212
"MULTILINESTRING ((-73.96136872718249 40.78022974949781, -73.96091016170163 40.780857035825065))",1,Manhattan,"164,108","6,4","73,69","28,29","10,12",5 AVENUE,37487,2,33972,MN0802,MN,Regional,"Upper East Side-Carnegie Hill,Central Park",X,AREA OF MINIMAL FLOOD HAZARD,,261.456931907
"MULTILINESTRING ((-73.94505127968087 40.802598598860335, -73.9434358524048 40.801919264483296))",1,Manhattan,"110,111",9,"68,70",30,13,EAST 119 STREET,38827,3,35298,MN1102,MN,Neighborhood,"Harlem (South),East Harlem (North)",X,AREA OF MINIMAL FLOOD HAZARD,6,511.157974357
"MULTILINESTRING ((-73.96068717864999 40.817510516586815, -73.96035728962126 40.81795912113357))",1,Manhattan,109,7,70,31,13,12 AVENUE,38405,4,34377,MN0902,MN,Community,"Morningside Heights,Manhattanville-West Harlem",X,AREA OF MINIMAL FLOOD HAZARD,"2,3,5",187.219465051
"MULTILINESTRING ((-73.92109663029555 40.86015972955884, -73.92123475238412 40.86047629228435))",1,Manhattan,112,10,72,31,13,ACADEMY STREET,187935,4,36068,MN1203,MN,Community,Inwood,AE,,2,121.499542737
"MULTILINESTRING ((-73.96023645555783 40.81812306896824, -73.95999682644015 40.81844757098086))",1,Manhattan,109,7,70,31,13,RIVERSIDE DRIVE,194447,4,34377,MN0902,MN,Community,Manhattanville-West Harlem,X,AREA OF MINIMAL FLOOD HAZARD,"2,3",135.561922607
"MULTILINESTRING ((-73.9588680588652 40.82000286613801, -73.95841539439314 40.82062570764387))",1,Manhattan,109,7,70,31,13,12 AVENUE,38431,4,34377,MN0902,MN,Community,Manhattanville-West Harlem,X,AREA OF MINIMAL FLOOD HAZARD,"2,4",259.213440476
"MULTILINESTRING ((-73.96311838159335 40.7609248596839, -73.96286875073739 40.760824179621444))",1,Manhattan,108,5,73,28,12,EAST 60 STREET,190541,2,33765,MN0801,MN,Regional,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,,78.2806776795
"MULTILINESTRING ((-73.969807196935 40.74885156638164, -73.96959343188169 40.749139320919994))",1,Manhattan,106,4,74,28,12,1 AVENUE,193861,2,32844,MN0604,MN,Regional,United Nations,X,AREA OF MINIMAL FLOOD HAZARD,6,120.412523248
"MULTILINESTRING ((-74.01318960130715 40.71602008572431, -74.01307935595352 40.71646715027883))",1,Manhattan,101,1,66,26,10,WEST STREET,196662,3,30014,MN0102,MN,Neighborhood,Financial District-Battery Park City,AE,,1,165.721623803
"MULTILINESTRING ((-73.97817913933851 40.73593284760885, -73.97774316089567 40.735444329633324))",1,Manhattan,106,4,74,27,12,PETER COOPER ROAD,216901,4,32589,MN0602,MN,Community,Stuyvesant Town-Peter Cooper Village,X,AREA OF MINIMAL FLOOD HAZARD,"1,3",215.118897709
"MULTILINESTRING ((-73.93967750355473 40.79113575602031, -73.93913198111422 40.790904958157476))",1,Manhattan,111,8,68,"30,29",13,EAST 108 STREET,218453,4,35226,MN1101,MN,Community,East Harlem (South),AE,,3,172.883664246
"MULTILINESTRING ((-73.95682707644902 40.81261153028801, -73.95730665386998 40.81281861796911))",1,Manhattan,109,7,69,30,13,LA SALLE STREET,219962,3,34371,MN0901,MN,Neighborhood,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,152.695523257
"MULTILINESTRING ((-74.00090318368443 40.748817874404935, -74.00129802531855 40.74896940599929))",1,Manhattan,104,3,75,"31,27",10,WEST 26 STREET,220853,3,31903,MN0401,MN,Neighborhood,Chelsea-Hudson Yards,X,AREA OF MINIMAL FLOOD HAZARD,"3,4",122.542406803
"MULTILINESTRING ((-73.92957984666805 40.797898069711614, -73.92955669355582 40.79773928034604, -73.92954308731412 40.79749577688531, -73.92955118745482 40.797252971061965))",1,Manhattan,111,8,68,"30,29",13,PALADINO AVENUE,9001137,4,35421,MN1102,MN,Community,East Harlem (North),AE,,"2,3",235.494360409
"MULTILINESTRING ((-73.93160238030389 40.80054824298539, -73.93158330332363 40.80053977777641))",1,Manhattan,111,8,68,"30,29",13,PALADINO AVENUE,9001162,4,35354,MN1102,MN,Community,East Harlem (North),AE,,"2,3",6.11624931608
"MULTILINESTRING ((-73.94005379451171 40.82537870830795, -73.9398603826349 40.825647981868634))",1,Manhattan,110,9,71,30,13,FREDERICK DOUGLASS BOULEVARD,69158,3,34841,MN1002,MN,Neighborhood,Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,5,111.759189134
"MULTILINESTRING ((-73.93620957865556 40.814673849794616, -73.93613554339963 40.814788126937884))",1,Manhattan,"110,111",9,70,30,13,5 AVENUE,173123,4,35409,MN1002,MN,Community,"Harlem (North),East Harlem (North)",X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,"2,3,4",46.4054642286
"MULTILINESTRING ((-73.97685248757578 40.73496920367943, -73.97652298100815 40.73512576591644))",1,Manhattan,106,4,74,27,12,PETER COOPER ROAD,222593,4,32589,MN0602,MN,Community,Stuyvesant Town-Peter Cooper Village,X,AREA OF MINIMAL FLOOD HAZARD,1,107.668791112
"MULTILINESTRING ((-73.93433939074114 40.81692870640112, -73.93445400187721 40.81718852805833))",1,Manhattan,"110,111",9,70,30,13,HARLEM RIVER DRIVE,122128,4,35337,MN1002,MN,Community,"Harlem (North),East Harlem (North)",AE,,2,99.8366493034
"MULTILINESTRING ((-73.9638612634733 40.802972038116174, -73.96367946999925 40.8032219981695))",1,Manhattan,"109,107",7,69,"30,31","10,13",AMSTERDAM AVENUE,223271,3,33591,MN0901,MN,Neighborhood,"Upper West Side-Manhattan Valley,Morningside Heights",X,AREA OF MINIMAL FLOOD HAZARD,,104.051444842
"MULTILINESTRING ((-73.9349376702178 40.82816017364631, -73.93507785797266 40.82823502347685))",1,Manhattan,110,9,"72,71",30,13,WEST 155 STREET,241579,4,35040,MN1002,MN,Community,Harlem (North),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,"3,4",47.4221524653
"MULTILINESTRING ((-73.9411006816611 40.80925235143856, -73.94354580329302 40.8102842189028))",1,Manhattan,110,9,70,30,13,WEST 129 STREET,227249,3,35029,MN1002,MN,Neighborhood,Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,6,774.265511384
"MULTILINESTRING ((-73.9411006816611 40.80925235143856, -73.94354580329302 40.8102842189028))",1,Manhattan,110,9,70,30,13,WEST 129 STREET,227249,3,35029,MN1002,MN,Neighborhood,Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,6,774.265511384
"MULTILINESTRING ((-73.97545932526644 40.77689872243127, -73.97628761663425 40.77724807286477))",1,Manhattan,"164,107",6,67,29,10,WEST 73 STREET,227916,3,33206,MN0701,MN,Neighborhood,"Upper West Side-Lincoln Square,Central Park",X,AREA OF MINIMAL FLOOD HAZARD,,262.347732907
"MULTILINESTRING ((-74.00107518013058 40.74683561103774, -74.0008482682784 40.7471467738983))",1,Manhattan,104,3,75,27,10,9 AVENUE,227838,2,31932,MN0401,MN,Regional,Chelsea-Hudson Yards,X,AREA OF MINIMAL FLOOD HAZARD,"2,4",129.634570049
"MULTILINESTRING ((-73.93273896259426 40.862941685176985, -73.9326984708589 40.86305547448213, -73.93263668305644 40.863164901973576, -73.93255511719548 40.86326659166789, -73.93245651729796 40.86335763654777))",1,Manhattan,112,10,71,31,13,MARGARET CORBIN DRIVE,72460,4,35969,MN1202,MN,Community,Washington Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,,172.643291894
"MULTILINESTRING ((-73.93245651729796 40.86335763654777, -73.93243112746747 40.863492730274054, -73.93242372721363 40.86363048286934, -73.93243484421636 40.863768814514444, -73.93246445349796 40.86390557121789, -73.93251195357425 40.86403863736324, -73.93257620662051 40.86416608521583))",1,Manhattan,112,10,71,31,13,MARGARET CORBIN DRIVE,72462,5,35891,MN1202,MN,Baseline,Washington Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,,300.885457578
"MULTILINESTRING ((-73.9840763605006 40.74910212512281, -73.98715269912415 40.75039244186918))",1,Manhattan,105,4,"73,75",27,12,WEST 35 STREET,229580,2,32276,MN0502,MN,Regional,"Midtown South-Flatiron-Union Square,Midtown-Times Square",X,AREA OF MINIMAL FLOOD HAZARD,,973.415530339
"MULTILINESTRING ((-73.92775575471985 40.86527108607587, -73.92726915137295 40.8655345589847))",1,Manhattan,112,10,"72,71",31,13,BROADWAY,111269,3,35903,MN1202,MN,Neighborhood,"Washington Heights (North),Inwood",X,AREA OF MINIMAL FLOOD HAZARD,"4,5,6",165.316322506
"MULTILINESTRING ((-73.91105789121964 40.87196455389115, -73.91111853873325 40.87212054813909, -73.91119832603081 40.87227298124039, -73.91129660347768 40.872419826557035, -73.91141223484003 40.87255920385025, -73.91154366844215 40.87268938834402, -73.91168896072537 40.87280893231317))",1,Manhattan,112,10,72,31,13,9 AVENUE,111279,5,36160,MN1203,MN,Baseline,Inwood,X,AREA OF MINIMAL FLOOD HAZARD,"3,5",358.056852807
"MULTILINESTRING ((-73.9112271229989 40.87165546630075, -73.91105789121964 40.87196455389115))",1,Manhattan,112,10,72,31,13,9 AVENUE,73024,5,36160,MN1203,MN,Baseline,Inwood,X,AREA OF MINIMAL FLOOD HAZARD,"3,4,5",121.951775212
"MULTILINESTRING ((-74.00825772575094 40.739375929180824, -74.00967995872185 40.7393795438196))",1,Manhattan,102,3,66,27,10,GANSEVOORT STREET,236855,1,31108,MN0203,MN,Global,West Village,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",1,394.127205
"MULTILINESTRING ((-74.00473658244671 40.747928354205555, -74.00702312871799 40.74889021220686))",1,Manhattan,104,3,75,27,10,WEST 23 STREET,236965,2,31942,MN0401,MN,Regional,Chelsea-Hudson Yards,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD",1,724.014677888
"MULTILINESTRING ((-73.93523183493288 40.827048987479905, -73.93523494548343 40.82708079742742, -73.93523860850328 40.827112572565625, -73.93524282399767 40.827144308392, -73.93524759197344 40.827175998602996, -73.93525290887942 40.827207638694055, -73.93525877709334 40.82723922236302, -73.93526519424954 40.827270745105984, -73.93527354371156 40.827307177533434, -73.93527933344997 40.82734389578159, -73.93528254459369 40.827380796283144, -73.93528316894256 40.82741777367585, -73.93528120540748 40.82745472440211, -73.93527665764309 40.82749154310592, -73.93526954115723 40.82752812623872))",1,Manhattan,110,9,71,30,13,ADAM CLAYTON POWELL JR BOULEVARD,238266,3,34991,MN1002,MN,Neighborhood,Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,"4,5",175.662241885
"MULTILINESTRING ((-73.99458454705126 40.71369042096996, -73.9944356085774 40.713705249777476))",1,Manhattan,103,1,65,26,7,EAST BROADWAY,238318,2,31296,MN0301,MN,Regional,Chinatown-Two Bridges,X,AREA OF MINIMAL FLOOD HAZARD,6,41.6412543631
"MULTILINESTRING ((-73.93575820477362 40.827632856957784, -73.93559360460178 40.82765254002397, -73.93552579756017 40.82766064261178, -73.93545434936829 40.82765948602956, -73.93538341628427 40.82764061694808, -73.93532405863328 40.82760558141877, -73.935318177259 40.827597226926144))",1,Manhattan,110,9,71,30,13,MACOMBS PLACE,238269,4,35030,MN1002,MN,Community,Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,"4,5",129.943296364
"MULTILINESTRING ((-74.01303586691387 40.717254759362795, -74.01315944497195 40.717311193776695))",1,Manhattan,101,1,66,26,10,CHAMBERS STREET,239375,3,30075,MN0102,MN,Neighborhood,Financial District-Battery Park City,AE,,1,39.9535217863
"MULTILINESTRING ((-73.93515201437721 40.82835546411825, -73.93514722821632 40.82836306881067, -73.93511813588134 40.828436190670125, -73.93510408504831 40.828511833368516, -73.93510530361223 40.828587331573544))",1,Manhattan,110,9,"72,71",30,13,HARLEM RIVER DRIVE,240584,4,35006,MN1002,MN,Community,Harlem (North),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3,86.243195745
"MULTILINESTRING ((-74.01577987224805 40.70773621036177, -74.01589242648716 40.707788755914756))",1,Manhattan,101,1,65,26,10,WEST THAMES STREET,240708,3,29999,MN0101,MN,Neighborhood,Financial District-Battery Park City,AE,,1,36.6097403444
"MULTILINESTRING ((-74.01352773723535 40.71526285514118, -74.01369053606538 40.71528892458012, -74.01369112309472 40.71528901816341))",1,Manhattan,101,1,66,26,10,MURRAY STREET,240750,3,30080,MN0102,MN,Neighborhood,Financial District-Battery Park City,AE,,1,46.2855220076
"MULTILINESTRING ((-74.01678105271938 40.713998119317026, -74.01638618424158 40.71452062983553))",1,Manhattan,101,1,"65,66",26,10,NORTH END AVENUE,287918,3,29906,MN0102,MN,Neighborhood,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,1,219.595557201
"MULTILINESTRING ((-74.01638618424158 40.71452062983553, -74.01636205748123 40.714552554559575))",1,Manhattan,101,1,"65,66",26,10,NORTH END AVENUE,287919,3,29906,MN0102,MN,Neighborhood,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,1,13.4171048251
"MULTILINESTRING ((-74.01678105271938 40.713998119317026, -74.01638618424158 40.71452062983553))",1,Manhattan,101,1,"65,66",26,10,NORTH END AVENUE,287918,3,29906,MN0102,MN,Neighborhood,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,1,219.595557201
"MULTILINESTRING ((-74.01678105271938 40.713998119317026, -74.01638618424158 40.71452062983553))",1,Manhattan,101,1,"65,66",26,10,NORTH END AVENUE,287918,3,29906,MN0102,MN,Neighborhood,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,1,219.595557201
