Facility Name,Location Type,Operator,Status,Open,Hours of Operation,Accessibility,Latitude,Longitude
"Woodside Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,40.74535,-73.909795
"Kips Bay Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.743818,-73.979903
"Woodhaven Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,40.694539,-73.861459
Rockaway Beach 07b,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.58057,-73.8261
Belvedere Castle,Park,Central Park Conservancy,Not Operational,Year Round,6am - dusk,Fully Accessible,40.780427,-73.969136
"East Flatbush Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.655719,-73.914942
Ferry Point Golf Course,Park,NYC Parks Concessionaire,Operational,Year Round,6:30am-10:00pm Daily,Fully Accessible,40.815276,-73.831236
Slattery Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.85715,-73.8982
Rudd Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.68332,-73.905
Foster Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.83119,-73.9247
"Douglaston-Little Neck Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,40.768234,-73.738231
Benson Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.60237,-74.0023
Willink Hill,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.66291,-73.9635
Martinez Playground,Park,NYC Parks,Not Operational,,,,40.70899,-73.9444
Neufeld Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.78344,-73.9848
Brigadier General Charles Young Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.81961,-73.9362
Kaiser Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.57852,-73.9954
Hilton White Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.82291,-73.9075
Grove Hill Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.81994,-73.9085
Gen. Douglas MacArthur Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.58593,-74.1008
Holcombe Rucker Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.82919,-73.9362
Herbert Von King Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.68985,-73.9465
Fulton Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,40.67979,-73.9316
Schmidts Lane Recreation Fac.,Park,NYC Parks Concessionaire,Operational,Year Round,https://sifunpark.com/2023-hours/,Partially Accessible,40.609563,-74.119642
Bleecker Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.73636,-74.0056
FDR Boardwalk/South Beach Restroom,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,40.589204,-74.066453
Dyckman Marina Restaurant,Park,NYC Parks Concessionaire,Operational,Seasonal,Mon-Thurs-4:00pm-10pm Fri-Sat 11:00am-11:00pm Sunday 11:00am-10:00pm,Fully Accessible,40.860769,-73.93276
Lyons Square Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.82263,-73.8883
"Terence Cardinal Cooke-Cathedral Library, NYPL",Library,NYPL,Closed,,,,40.756811,-73.972542
Olinville Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.88433,-73.867
Eastchester Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.86978,-73.8527
550 Madison Avenue POPS,Privately Owned Public Space,550 Madison Property Management,Operational,Year Round,Everyday 7:00 am-11:00 pm,Fully Accessible,40.76147,-73.973505
Crowley Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.72931,-73.8799
Willoughby Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Partially Accessible,40.69449,-73.9467
Vidalia Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.84408,-73.8814
Rev J Polite Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.8269,-73.8978
"Coney Island Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.576646,-73.986063
Wards Meadow,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.78308,-73.9308
Herman Dolgon Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.59817,-73.9396
Wingate Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.65926,-73.9446
Alley Springfield Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.74159,-73.7485
Beach 59th St Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.5889,-73.7891
Coney Island Beach Zone 6b,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.57237,-73.9885
Payson Playground,Park,NYC Parks,Not Operational,,,,40.86741,-73.9291
"Mill Basin Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.619877,-73.917023
Triborough Bridge Playground B,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.77475,-73.9235
Bensonhurst Indoor Tennis,Park,NYC Parks Concessionaire,Operational,Year Round,Mon-Fri - 7:00am - 12:00am Sat-Sun 7:00am-10:00pm,Fully Accessible,40.595081,-74.001441
Tiger Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.68803,-73.9112
East River Park Zone 5,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.7218,-73.974
"Kensington Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.6313,-73.975437
"96th Street Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Partially Accessible,40.785968,-73.951807
Rainey Park Playground,Park,NYC Parks,Not Operational,,,Not Accessible,40.76535,-73.941
Marcus Garvey Park Zone 1,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.80461,-73.9448
Woodtree Playground,Park,NYC Parks,Not Operational,,,Not Accessible,40.77752,-73.9026
Mafera Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.70604,-73.8913
Edenwald Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.88409,-73.8452
"Dairy, Chess & Checkers House, Carousel",Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.769105,-73.974625
Hudson River Park Pier 25,Park,Hudson River Park,Operational,Year Round,7:30am - 11pm,Fully Accessible,40.719928,-74.012697
Pfc Norton Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.61457,-73.9448
Fordham Plaza APT,Public Plaza,NYC DOT/JCDecaux,Operational,Year Round,8am-8pm,Fully Accessible,40.860834,-73.891159
Newport Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.66094,-73.9069
McCarren Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.72077,-73.9501
Brooklyn Bridge Park Zone 6,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.69293,-74.0017
"Port Richmond Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm 
Wednesday: 11:00 am - 6:00 pm  
Thursday: 11:00 am - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.637594,-74.131106
Midland Field,Park,NYC Parks,Not Operational,,,Fully Accessible,40.57659,-74.0995
Wolfe's Pond Park Zone 2,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.51739,-74.191
MacNeil Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.79352,-73.8514
Pilgrim Hill & Conservatory Water,Park,NYC Parks,Operational,Year Round,6:00am-11:00pm,Fully Accessible,40.77398,-73.9665
Horatio Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.75878,-73.754
"Roosevelt Island Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 8:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.762333,-73.949446
Wright Brothers Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.83169,-73.9416
St Mary's Playground East,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.80991,-73.9105
"Cambria Heights Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,40.695731,-73.741164
"Pomonok Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,40.732933,-73.810096
Shore Road Park Zone 4,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.612,-74.0357
"Webster Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm
Wednesday: 11:00 am - 7:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.770661,-73.951343
Slope Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.6613,-73.9893
Sternberg Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.70586,-73.9472
Twin Island,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.87048,-73.7866
Williamsbridge Oval,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.87667,-73.8786
"58th Street Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 6:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Partially Accessible,40.762194,-73.969383
Jacob H. Schiff Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.82037,-73.9521
"Sedgwick Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.849453,-73.917496
Banneker Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.69069,-73.9488
Calvert Vaux Park Zone 2,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.58528,-73.992
Horseshoe Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.82424,-73.8978
Battery Park City Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.70523,-74.0184
Keltch Memorial Park Snack Bar,Park,NYC Parks Concessionaire,Operational,Year Round,6:30am-2:00am,Fully Accessible,40.840542,-73.917785
"Van Cortlandt Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.883625,-73.894476
Yak Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.59246,-73.9358
"Parkchester Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 pm - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 pm - 8:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.833789,-73.858351
Grand Central Parkway Gas,Park,NYC Parks Concessionaire,Operational,Year Round,24 Hours,Not Accessible,40.765016,-73.861689
Corona Golf Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.74776,-73.854
Dyker Beach Golf Course,Park,NYC Parks Concessionaire,Operational,Year Round,5:30am - 7:00pm Daily,Fully Accessible,40.612719,-74.019631
Alley Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.747,-73.7456
Battery Park Zone 2,Park,NYC Parks,Not Operational,,,Fully Accessible,40.7014,-74.015
Russell Pedersen Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.62642,-74.0363
Playground One Fifty Two CLII,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.82795,-73.94
Magenta Playground,Park,NYC Parks,Not Operational,,,Fully Accessible,40.87355,-73.8678
St. John's Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.67379,-73.9353
Nostrand Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.6384,-73.9475
River Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.84317,-73.8773
Eleanor Roosevelt Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.69275,-73.9358
Imagination Playground at Betsy Head,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.66454,-73.9116
"Dyker Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.616316,-74.01199
Williamsburg Bridge Bus Depot APT,Public Plaza,NYC DOT/JCDecaux,Operational,Year Round,8am-8pm,Fully Accessible,40.70918,-73.959219
Dyker Beach Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.60569,-74.0178
Alexander Hamilton Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.82296,-73.9511
London Planetree Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,40.68592,-73.8531
Greene Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.68637,-73.9658
Hudson Beach Volleyball Courts & Café,Park,NYC Parks,Operational,Seasonal,11:00am-11:00pm,Partially Accessible,40.80258,-73.9719
Gun Hill Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.87468,-73.8654
"Tompkins Square Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm
Wednesday: 11:00 am - 7:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.727296,-73.980422
Rappaport Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.63678,-74.0008
Charybdis Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.7796,-73.9227
"Stone Avenue Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.664508,-73.905251
Josephine Caminiti Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.7438,-73.8616
Crotona Park Indoor Tennis,Park,NYC Parks Concessionaire,Operational,Year Round,7:00am-10:00pm,Fully Accessible,40.839595,-73.895042
Mill Pond Indoor Tennis,Park,NYC Parks Concessionaire,Operational,Year Round,,Fully Accessible,40.823539,-73.931668
Chester Playground,Park,NYC Parks,Not Operational,,,Fully Accessible,40.66903,-73.9119
2 Lincoln Square POPS,Privately Owned Public Space,Brown Harris Stevens,Operational,Year Round,"Everyday 11:30 am-7:30 pm, except Mondays, Thanksgiving, Christmas, and New Year's; closed four times a year, each time for four consecutive days, for installation of new exhibits",Fully Accessible,40.773165,-73.981429
Cherry Tree Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.78717,-73.9472
"Stephen A. Schwarzman Building, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 6:00 pm",Fully Accessible,40.753213,-73.982232
"Sunnyside Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,40.740855,-73.921669
Markham Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.62307,-74.1463
Orchard Bch. Pavilion,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",,40.86718,-73.7938
Van Cortlandt Stadium,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.88866,-73.898124
Bayside Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.58498,-73.825
"East Elmhurst Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,40.76243,-73.873868
Millbrook Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.80434,-73.917
Grand Army Plaza APT,Public Plaza,NYC DOT/JCDecaux,Operational,Year Round,8am-8pm,Fully Accessible,40.672237,-73.969074
Lindower Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.61228,-73.9112
"Walt Whitman Library, BPL",Library,BPL,Closed for Construction,Year Round,,Fully Accessible,40.694498,-73.977734
"Flatlands Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.619776,-73.933215
Audubon Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.84167,-73.9379
Anibal Aviles Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.80119,-73.9628
South Beach Zone 2,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.58886,-74.0668
"Mariners Harbor Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.634702,-74.166583
Herald Square,Park,34th Street Partnership,Operational,Year Round,8am-9pm,Fully Accessible,40.750455,-73.987505
Flushing Meadows Golf Course,Park,NYC Parks Concessionaire,Operational,Year Round,8:00am-11:00pm Daily,Fully Accessible,40.751447,-73.840083
"Charleston Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.531061,-74.232184
Cunningham Park Zone 2,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.72965,-73.7736
Coleman Playground,Park,NYC Parks,Not Operational,,,Not Accessible,40.71088,-73.9935
Louis Pasteur Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.76176,-73.7354
Heckscher Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.76837,-73.9771
"Pelham Bay Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.844326,-73.827902
Yellowstone Park,Park,NYC Parks,Not Operational,,,Fully Accessible,40.72624,-73.8479
Grand Central (Metro North) LIRR Restroom,Transit,LIRR-MNR,Operational,Year Round,"Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",,40.751816,-73.976715
Silent Springs Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.74965,-73.8232
Walter Gladwin Park,Park,NYC Parks,Not Operational,,,,40.846448,-73.89598
Tennis Courts - Forest Parkway,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.69717,-73.8581
"McKinley Park Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.629196,-74.011839
"Hamilton Fish Park Library, NYPL",Library,NYPL,Closed for Construction,Future,,,40.719788,-73.979425
Chelsea Waterside Park,Park,Hudson River Park,Operational,Year Round,8am - 12am,Fully Accessible,40.74936,-74.007768
"Bloomingdale Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm  
Wednesday: 11:00 am - 7:00 pm   
Thursday: 11:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.795882,-73.967608
Canarsie Park Zone 5,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.63599,-73.8832
Indian Memorial To Indian Field,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.89594,-73.879
175th Street Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.84456,-73.8947
Bushwick Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.69608,-73.912
McGuire Fields,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.61858,-73.8988
"Morrisania Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.831271,-73.901795
Harris Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.87528,-73.8927
