ConditionHazard #,Class,Number,Type,Extent,Problem,Location/Comments,Priority,Cause,Feature #
6400,Condition,1,Litter,1,Heavy,through out CS,,0,31668
6473,Condition,1,Dispensers Missing Soap,1,,,,1,32036
6474,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,32036
6485,Condition,,Soap Dispensers Damaged,,Light,,,0,32070
6593,Condition,2,No Toilet Paper,2,,,,1,32438
6596,Condition,1,Dispensers Missing Soap,1,,,,1,32438
6669,Condition,,Mirrors Deteriorated,,,,,0,32606
4753,Condition,,Grime,,Heavy,in both sinks,,0,23344
4739,Condition,,Ceiling Deterioration,,Moderate,,,0,23346
4740,Condition,1,Urinals OOS,2,,clogged,,0,23346
4741,Condition,,Soap Dispensers Damaged,,,,,0,23346
4742,Condition,1,Sinks OOS,2,,no water,,0,23346
4810,Condition,,Litter,,Light,,,0,23695
4858,Condition,1,Dispensers Missing Soap,1,,,,0,23997
4859,Condition,1,No Toilet Paper,1,,,,0,23997
4865,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,23997
4882,Condition,1,Dispensers Missing Soap,1,,(bar soap present),,0,24097
4897,Condition,,Litter,,Moderate,,,0,24148
5014,Condition,1,Soap Dispensers Missing,1,,,,0,24580
5016,Condition,1,Soap Dispensers Missing,1,,,,0,24584
1069,Condition,1,Soap Dispensers Missing,1,,,,0,4562
1206,Condition,1,Soap Dispensers Missing,1,,,,0,5196
1247,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,5447
1379,Condition,2,Stalls Missing Doors,2,,,,0,6083
1380,Condition,,Wall Deterioration,,Heavy,above sink,,0,6083
1381,Condition,,Ceiling Deterioration,,Heavy,above toilet stall,,0,6083
3788,Condition,,No Paper Towels / Hand Dryer,,,,,0,18683
3802,Condition,1,Dispensers Missing Soap,1,,,,0,18800
3803,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,18800
3804,Condition,1,No Toilet Paper,1,,,,0,18800
4054,Condition,1,Spray Paint,1,,on wall,,0,20372
4178,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,20787
4203,Condition,1,Soap Dispensers Missing,1,,,,0,20938
173,Condition,,Dispensers Missing Soap,,,,,0,585
174,Condition,,No Paper Towels / Hand Dryer,,,,,0,585
102,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,630
283,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,987
284,Condition,,,,,Stall divider rusted.,,0,989
275,Condition,,,,,Sink constantly running.,,0,1053
412,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,1889
570,Condition,,,,,urinal rusting,,0,2193
499,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,2291
500,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,2293
596,Condition,,No Paper Towels / Hand Dryer,,,,,0,2525
672,Condition,1,,2,,sink removed,,0,2802
673,Condition,1,,5,,toilet removed,,0,2802
1908,Condition,1,Dispensers Missing Soap,1,,,,0,8652
1909,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,8652
2138,Condition,1,Dispensers Missing Soap,1,,,,0,9588
2139,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,9588
2140,Condition,1,No Toilet Paper,1,,,,0,9588
2286,Condition,1,Dispensers Missing Soap,1,,,,0,10188
2287,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,10188
2313,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,10356
2314,Condition,1,Dispensers Missing Soap,1,,,,0,10356
6313,Condition,,Litter,,Light,toilet stall,,0,31212
6419,Condition,1,Dispensers Missing Soap,1,,and broken where soap comes out. Bar soap present.,,1,31737
6420,Condition,1,Dispensers Missing Soap,1,,,,1,31741
6595,Condition,2,Toilet Paper Dispensers Damaged,2,,,,1,32439
6600,Condition,,Fixture Deterioration,,Light,,,0,32439
6599,Condition,,Ceiling Deterioration,,Moderate,,,1,32443
6605,Condition,1,Toilet Paper Dispensers Damaged,1,,,,1,32443
6602,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,32448
6637,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,32648
6639,Condition,,Litter,,Moderate,,,1,32650
6717,Condition,1,Dispensers Missing Soap,1,,,,1,32882
4656,Condition,,No Paper Towels / Hand Dryer,,,,,0,22922
4743,Condition,,No Paper Towels / Hand Dryer,,,,,0,23349
4744,Condition,3,No Toilet Paper,3,,,,0,23349
4746,Condition,,Ceiling Deterioration,,Light,,,0,23351
4754,Condition,1,Sinks OOS,2,,clogged,,0,23351
4750,Condition,,Soap Dispensers Damaged,,,not working,,0,23358
4751,Condition,,Wall Deterioration,,Light,,,0,23358
4755,Condition,1,Fixture Deterioration,3,,toilet cracked,,0,23358
4756,Condition,,Fixture Deterioration,,,sink with rust stains,,0,23358
4757,Condition,,Fixture Deterioration,,,soap dispenser rusted,,0,23358
4868,Condition,1,Dispensers Missing Soap,1,,,,0,24019
4869,Condition,,No Paper Towels / Hand Dryer,,,,,0,24019
4880,Condition,,Litter,,Light,,,0,24092
4916,Condition,,Dispensers Missing Soap,,,,,0,24387
4917,Condition,,No Paper Towels / Hand Dryer,,,,,0,24387
4929,Condition,,Ceiling Deterioration,,Heavy,through out site,,0,24426
4930,Condition,,Fixture Deterioration,,,urinals cracked,,0,24426
4931,Condition,,Soap Dispensers Missing,,,globe,,0,24426
4932,Condition,3,Toilets OOS,8,,,,0,24426
4946,Condition,1,No Toilet Paper,1,,,,0,24487
4947,Condition,1,Dispensers Missing Soap,1,,,,0,24487
5015,Condition,1,Dispensers Missing Soap,1,,,,0,24587
5141,Condition,,Stalls Missing Doors,,,,,0,25423
5162,Condition,,Grime,,Light,on floor.,,0,25432
1007,Condition,,Fixture Deterioration,,,damaged exterior lights,,0,4365
1070,Condition,,,,,scratch on mirror,,0,4563
1177,Condition,1,Urinals OOS,2,,,,0,5074
1178,Condition,1,,2,,Mirrors damaged,,0,5074
1201,Condition,1,Dispensers Missing Soap,1,,,,0,5167
1208,Condition,,Marker,,Light,on door mechanism,,0,5199
1209,Condition,,Marker,,Light,on wall of stall,,0,5199
1210,Condition,,Spray Paint,,Light,on door of restroom,,0,5199
1225,Condition,,Wall Deterioration,,Moderate,,,0,5333
1231,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,5367
1242,Condition,,Marker,,,on hand dryer,,0,5410
1334,Condition,,Litter,,Light,,,0,5937
1339,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,5942
1340,Condition,2,No Toilet Paper,2,,,,0,5942
5241,Condition,,Marker,,Light,,,0,25911
5242,Condition,,Litter,,Moderate,,,0,25912
5434,Condition,,Dispensers Missing Soap,,,,,0,26865
5435,Condition,,No Paper Towels / Hand Dryer,,,,,0,26865
5567,Condition,1,Sinks OOS,3,,clogged,,0,27330
5852,Condition,1,Soap Globe Missing,1,,,,0,28566
5862,Condition,,Marker,,Light,wall adj door,,0,28583
8086,Condition,,Fixture Deterioration,,Moderate,porcelain on urinals,,1,38211
8093,Condition,1,Fixture Deterioration,1,,drain in sink damaged,,0,38226
8128,Condition,1,Wall Deterioration,3,,stall door locks broken,,0,38430
8274,Condition,,,,,glass section of window missing and screen broken,,0,39580
8309,Condition,,Litter,,Light,on stall floor and paper towel dispenser,,0,39798
8345,Condition,,No Paper Towels / Hand Dryer,,,,,1,40051
8357,Condition,,Ceiling Deterioration,,,water damage,,0,40116
2566,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,11536
2567,Condition,1,Dispensers Missing Soap,1,,,,0,11536
2582,Condition,1,Soap Globe Missing,1,,,,0,11603
2583,Condition,1,Dispensers Missing Soap,1,,,,0,11604
2627,Condition,1,Dispensers Missing Soap,1,,,,0,11804
2710,Condition,1,No Toilet Paper,1,,3 out of 4 stalls,,0,12240
2711,Condition,1,,1,,,,0,12240
2730,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,12372
2731,Condition,1,Dispensers Missing Soap,1,,,,0,12372
2830,Condition,1,Dispensers Missing Soap,1,,,,0,13208
10834,Condition,1,Wall Deterioration,1,,stall door lock broken,,0,52852
11001,Condition,,Litter,,Light,on window ledge,,0,53538
11027,Condition,1,Dispensers Missing Soap,1,,,,1,53619
11091,Condition,1,Wall Deterioration,1,,stall door lock broken,,0,53970
11141,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,54156
11431,Condition,1,Dispensers Missing Soap,1,,,,1,55677
6853,Condition,,,,,Light uneven paint on wall in stall,,0,33296
7016,Condition,1,Dispensers Missing Soap,1,,,,1,34068
7123,Condition,1,Grime,1,Light,on sink,,0,34703
7124,Condition,1,Grime,1,Light,in urinal,,0,34703
7181,Condition,,Dispensers Missing Soap,,,,,1,34936
7182,Condition,,No Paper Towels / Hand Dryer,,,,,1,34936
1430,Condition,1,Soap Globe Missing,1,,,,0,6459
1436,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,6559
1474,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,6692
1475,Condition,1,No Toilet Paper,1,,,,0,6692
1476,Condition,1,Dispensers Missing Soap,1,,,,0,6692
1536,Condition,1,Dispensers Missing Soap,1,,,,0,6992
1650,Condition,1,Dispensers Missing Soap,1,,,,0,7392
1651,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,7392
1700,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,7528
12066,Condition,,No Paper Towels / Hand Dryer,,,,,1,60103
12194,Condition,,Litter,,Light,in both toilet stalls,,0,60889
12208,Condition,1,Toilets OOS,3,,,,1,60922
8481,Condition,1,Dispensers Missing Soap,1,,men's room,,1,40870
8485,Condition,1,Dispensers Missing Soap,1,,men's room,,1,40934
8492,Condition,1,Soap Globe Missing,1,,,,0,40951
8603,Condition,,Marker,,,on paper towel dispenser.,,0,41652
11437,Condition,1,No Toilet Paper,2,,,,1,55742
11451,Condition,1,No Toilet Paper,2,,,,1,55809
11460,Condition,,,,,Peeling paints on ceiling and wall.,,0,55891
11615,Condition,1,Dispensers Missing Soap,1,,,,1,57195
11616,Condition,1,Wall Deterioration,1,,stall door lock broken,,0,57196
11617,Condition,1,Wall Deterioration,1,,CS door has no handle or doorknob to get out of CS,,0,57196
11739,Condition,1,Fixture Deterioration,2,,lights missing cover,,0,57913
11753,Condition,,Litter,,Light,,,0,58050
11755,Condition,,Litter,,Heavy,on floor and toilet paper dispenser.,,1,58082
11817,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,58499
11820,Condition,,Ceiling Deterioration,,Light,,,0,58500
11824,Condition,3,,3,,stall locks broken,,0,58500
12473,Condition,,,,,Worker on site cleaning,,,62680
12510,Condition,,Natural Debris,,Light,on floor.,,,62793
12512,Condition,,Litter,,Light,on floor.,,,62797
12595,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,63315
4205,Condition,,Spray Paint,,,on stall wall,,0,20940
5175,Condition,,Dispensers Missing Soap,,,,,0,25633
5176,Condition,,No Paper Towels / Hand Dryer,,,,,0,25633
5489,Condition,1,Toilet Paper Dispensers Missing,1,,,,0,27054
5574,Condition,,Marker,,Light,on paper towel dispenser,,0,27407
5726,Condition,,Litter,,Light,on floor,,0,27892
5779,Condition,,Litter,,Light,,,0,28124
5849,Condition,,Litter,,Light,,,0,28560
5854,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,28577
5855,Condition,1,No Toilet Paper,1,,,,0,28577
8209,Condition,,Litter,,Light,,,0,39005
8283,Condition,1,Fixture Deterioration,8,,lights out,,0,39624
8316,Condition,1,No Toilet Paper,2,,,,1,39839
8317,Condition,1,Urinals OOS,2,,,,0,39841
2528,Condition,1,Soap Globe Missing,1,,,,0,11327
2526,Condition,1,Dispensers Missing Soap,1,,,,0,11329
2527,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,11329
2770,Condition,1,Dispensers Missing Soap,1,,,,0,12716
2771,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,12716
2772,Condition,1,No Toilet Paper,,,,,0,12716
10958,Condition,2,No Toilet Paper,2,,,,1,53377
7102,Condition,,Dispensers Missing Soap,,,,,1,34644
7103,Condition,,No Paper Towels / Hand Dryer,,,,,1,34644
7122,Condition,1,Dispensers Missing Soap,1,,,,0,34708
7205,Condition,1,Toilets OOS,2,,,,0,34995
7356,Condition,,Toilets OOS,,,,,1,35393
7357,Condition,,Urinals OOS,,,,,1,35393
7353,Condition,,Litter,,Light,in stall.,,0,35395
7382,Condition,1,Dispensers Missing Soap,1,,,,1,35480
7390,Condition,,Litter,,Light,in stall,,0,35495
7585,Condition,1,Soap Globe Missing,1,,,,0,36365
7590,Condition,,,,,duct tape on mirror and fully enclosed roll casing,,0,36365
1450,Condition,1,No Toilet Paper,1,,,,0,6615
1451,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,6615
1452,Condition,1,Dispensers Missing Soap,1,,,,0,6615
1735,Condition,1,Dispensers Missing Soap,1,,,,0,7736
12051,Condition,1,Dispensers Missing Soap,1,,,,1,60031
12137,Condition,,Litter,,Light,on floor.,,0,60580
12143,Condition,1,,3,,Stall door has damaged lock.,,0,60582
12188,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,60863
12195,Condition,,Litter,,Light,in stall,,0,60880
12217,Condition,,Paint Uneven / Not Uniform,,Moderate,on walls,,1,60963
12218,Condition,,Ceiling Deterioration,,Light,,,0,60963
8495,Condition,2,No Toilet Paper,3,,broken dispensers in 2 of 3 stalls,,1,40994
8502,Condition,,,,,Men's CS missing sign,,0,41043
8513,Condition,2,Fixture Deterioration,2,,light covers missing,,0,41111
8576,Condition,1,Toilet Paper Dispensers Damaged,3,,,,0,41596
8577,Condition,,Paint Uneven / Not Uniform,,Light,on floor,,0,41596
8666,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,41962
8700,Condition,,Litter,,Light,,,0,42115
8782,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,42432
8966,Condition,,Litter,,Light,on floor,,0,43200
8982,Condition,1,,1,,mirror scratched,,0,43251
11458,Condition,,Litter,,Light,o floor.,,0,55885
11517,Condition,,,,,stickers on sign above door,,0,56419
11518,Condition,,Marker,,,on wall outside toilet stall,,0,56419
11583,Condition,,No Paper Towels / Hand Dryer,,Heavy,,,1,56838
11602,Condition,1,Toilets OOS,2,,clogged,,1,56987
11733,Condition,1,Fixture Deterioration,2,,lights out,,0,57906
11734,Condition,2,Fixture Deterioration,2,,lights missing covers,,0,57906
11735,Condition,1,Dispensers Missing Soap,1,,,,1,57908
12256,Condition,,Marker,,,/sticker on wall.,,0,61233
12374,Condition,1,Sinks OOS,2,,,,0,61899
12353,Condition,1,Dispensers Missing Soap,1,,,,1,61901
12354,Condition,3,No Paper Towels / Hand Dryer,3,,,,1,61901
12539,Condition,1,Dispensers Missing Soap,1,,,,1,63071
12641,Condition,,Litter,,Light,within stall,,,63622
9462,Condition,1,Fixture Deterioration,3,,lights out,,0,45355
9463,Condition,4,Wall Deterioration,4,,stall door locks broken,,0,45355
9535,Condition,,Litter,,Light,on floor and paper towel dispenser,,0,45742
9566,Condition,1,,1,,no soap,,1,45925
9567,Condition,1,No Toilet Paper,2,,,,1,45925
3808,Condition,1,Toilet Paper Dispensers Missing,1,,,,0,18803
4206,Condition,1,Dispensers Missing Soap,1,,,,0,20943
5565,Condition,1,Dispensers Missing Soap,1,,,,0,27329
5566,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,27329
5573,Condition,,Litter,,Heavy,,,0,27404
5851,Condition,1,Dispensers Missing Soap,1,,,,0,28565
5895,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,28697
5896,Condition,1,,1,,No liquid soap,,1,28697
8182,Condition,1,,1,,has missing valve,,0,38791
8311,Condition,,Litter,,Light,on stall floor,,0,39802
8315,Condition,,Paint Uneven / Not Uniform,,Light,,,0,39804
2475,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,11124
2497,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,11192
2498,Condition,1,Dispensers Missing Soap,1,,,,0,11192
2531,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,11360
2532,Condition,1,Dispensers Missing Soap,1,,,,0,11360
2705,Condition,1,Dispensers Missing Soap,1,,,,0,12228
2741,Condition,1,Dispensers Missing Soap,1,,,,0,12460
2742,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,12460
2807,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,12928
2808,Condition,1,Dispensers Missing Soap,1,,,,0,12928
2818,Condition,1,Stalls Missing Doors,1,,,,0,13023
10885,Condition,1,Dispensers Missing Soap,1,,,,1,53038
10886,Condition,1,No Toilet Paper,1,,,,1,53038
10955,Condition,1,No Toilet Paper,1,,,,1,53372
11204,Condition,,,,,Changing table will not open fully.,,0,54435
11283,Condition,,Floors Deterioration,,Light,,,1,54846
11366,Condition,,Ceiling Deterioration,,Heavy,,,1,55414
11430,Condition,1,Dispensers Missing Soap,1,,,,1,55680
6960,Condition,,Litter,,Light,adj toilet,,0,33818
7264,Condition,1,Dispensers Missing Soap,1,,,,1,35122
7265,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,35122
7383,Condition,,Fixture Deterioration,,Moderate,urinals cracked,,1,35481
7582,Condition,1,Dispensers Missing Soap,1,,,,1,36360
1445,Condition,1,Non-bird Feces,1,,,,0,6610
1446,Condition,0,,0,,,,0,6610
1638,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,7348
1639,Condition,1,No Toilet Paper,1,,,,0,7348
1642,Condition,1,Dispensers Missing Soap,1,,,,0,7380
1643,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,7380
1644,Condition,1,No Toilet Paper,1,,,,0,7380
1660,Condition,1,Dispensers Missing Soap,1,,,,0,7412
1661,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,7412
1662,Condition,1,Dispensers Missing Soap,1,,,,0,7416
1663,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,7416
12206,Condition,1,Mirrors Deteriorated,1,,,,1,60917
12207,Condition,2,Mirrors Deteriorated,2,,,,1,60921
8510,Condition,1,Dispensers Missing Soap,1,,men's room,,1,41106
8511,Condition,1,No Paper Towels / Hand Dryer,1,,men's room,,1,41106
8615,Condition,1,Fixture Deterioration,1,Light,urinal,,0,41667
8664,Condition,1,Soap Dispensers Missing,1,,,,0,41933
8784,Condition,,Soap Dispensers Missing,,,,,1,42437
11448,Condition,,,,,Mirror damaged,,0,55805
11463,Condition,1,Soap Dispensers Damaged,1,,leaking onto sink,,0,55905
11464,Condition,1,Fixture Deterioration,2,,lights out,,0,55905
11584,Condition,,No Paper Towels / Hand Dryer,,Heavy,,,1,56841
11645,Condition,,Ceiling Deterioration,,Moderate,,,1,57343
11736,Condition,,,,,scratches on mirror,,0,57909
11737,Condition,,,,,scratches on mirror,,0,57911
11760,Condition,,Litter,,Light,on floor.,,0,58086
12254,Condition,,Litter,,Moderate,on floor.,,1,61228
12391,Condition,1,,1,,mirror removed.,,,62189
12392,Condition,,Litter,,Light,on floor.,,,62191
12638,Condition,1,Changing Tables Deteriorated,1,,strap missing,,,63602
9569,Condition,,Litter,,Heavy,on floor,,1,45918
9594,Condition,1,Toilets OOS,5,,missing/removed,,0,46013
9908,Condition,1,No Toilet Paper,1,,in men's stall,,0,47458
2965,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,13932
2999,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,14064
3000,Condition,1,Dispensers Missing Soap,1,,,,0,14064
3095,Condition,1,Marker,1,,graffiti present on wall & ceiling,,0,14657
9561,Condition,1,Wall Deterioration,1,,stall door lock broken,,0,45942
9562,Condition,1,Fixture Deterioration,1,,missing light cover,,0,45942
9847,Condition,,,,,Hand dryer repaired with tape,,0,47329
3064,Condition,1,Toilets OOS,1,,,,0,14439
3180,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15024
13923,Condition,1,,1,,dryer damaged,,0,75722
5955,Condition,,Marker,,,on door,,0,28928
6091,Condition,,Fixture Deterioration,,Light,urinal,,0,29811
13150,Condition,1,Toilets OOS,23,Light,,,,68019
13151,Condition,1,Sinks OOS,8,Light,,,,68019
13161,Condition,1,Dispensers Missing Soap,1,,bar soap present,,1,68085
13168,Condition,1,Hand Dryers Broken,1,,,,1,68085
13209,Condition,1,,1,,toilet constantly running; fiddled with valve and checked twice during inspection,,0,68419
13233,Condition,1,No Toilet Paper,2,Moderate,,,1,68685
7623,Condition,1,Dispensers Missing Soap,1,,,,1,36480
7624,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,36480
7680,Condition,,Litter,,Light,in urinal,,0,36663
7681,Condition,,Litter,,Light,on floor,,0,36663
7724,Condition,1,Urinals OOS,1,,water will not stop flushing,,0,36797
7772,Condition,1,Wall Deterioration,4,,stall door missing,,0,36833
7874,Condition,1,Fixture Deterioration,1,Light,spray/leak from faucet when turned on,,0,37282
7947,Condition,,Litter,,Light,,,0,37716
